price.open,price.high,price.low,price.close,volume,price.adjusted,ret.adjusted.prices,ret.closing.prices,avgChange,Change
61.610001,63.02,60.759998,62.5,3466200,61.153473,-0.003984114,-0.003984064,0.326186465,E
62.700001,63.610001,62.360001,63.080002,2051000,61.720982,0.009280078,0.009280032,0.201898797,E
62.799999,63.400002,62.57,63.27,2269300,61.906883,0.003011958,0.003012016,0.072461485,E
63.419998,63.959999,63.27,63.389999,1642000,62.024296,0.001896607,0.001896618,0.003150154,E
63.400002,63.759998,62.73,63.529999,1509000,62.161282,0.002208586,0.00220855,-0.148166198,E
63.470001,63.860001,63.25,63.720001,1871000,62.347187,0.002990688,0.002990745,-0.427148232,E
64,64.040001,63.279999,63.5,1358900,62.131927,-0.003452602,-0.003452621,-0.618050585,D
63.369999,63.810001,63,63.400002,1086300,62.034088,-0.001574698,-0.001574772,-0.348577226,E
62.610001,63.93,62.169998,63.060001,1755400,61.701408,-0.005362858,-0.005362792,-0.586075538,D
63.259998,63.419998,61.77,62.369999,1689400,61.026276,-0.010941922,-0.010941992,-0.447368294,E
62.400002,62.630001,61.400002,61.560001,1853000,60.23373,-0.012986963,-0.012986981,-0.335910375,E
61.779999,62.639999,61.779999,62.310001,2322400,60.967571,0.012183224,0.012183236,-0.836532816,D
62.380001,62.630001,61.209999,61.240002,4449000,59.92062,-0.01717226,-0.017172187,-0.479640432,E
61.240002,61.450001,60.860001,60.990002,1911300,59.676006,-0.004082301,-0.004082299,-0.485696276,E
61.34,61.34,60.349998,60.529999,2038900,59.225918,-0.007542194,-0.007542269,-0.562889844,D
60.650002,60.849998,59.740002,59.759998,1825800,58.472504,-0.012721019,-0.012720982,-0.245824021,E
59.310001,60.200001,59.119999,59.790001,1587100,58.501858,0.000502014,0.000502058,-0.222724667,E
59.889999,60,59.32,59.529999,3098000,58.247456,-0.004348614,-0.004348587,0.158494977,E
59.720001,59.919998,58.759998,58.849998,2181800,57.582104,-0.011422851,-0.011422829,0.90434118,U
58.970001,59.380001,58.540001,59.029999,3508700,57.758228,0.003058659,0.003058641,1.402686567,U
59.25,59.790001,59.09,59.130001,2174100,57.856079,0.001694148,0.001694088,1.206037025,U
59.130001,60.099998,58.75,60,2838600,58.707336,0.014713354,0.014713326,0.411096365,E
60.23,61.560001,59.880001,61.549999,3088100,60.223938,0.025833262,0.025833317,-0.426963061,E
61.779999,63.400002,61.66,63.279999,3720800,61.916668,0.028107262,0.02810723,-0.971093855,D
63.310001,63.540001,62.799999,62.830002,3772900,61.476364,-0.007111235,-0.007111204,-0.56587858,D
62.98,63.240002,61.25,61.27,2230700,59.949974,-0.024828892,-0.024828934,0.249245377,E
